4980	3
100	62	46
91	57	42
81	50	37
73	44	33
72	44	32
78	48	36
82	51	38
84	53	39
85	53	40
84	53	40
82	52	40
79	51	40
75	49	38
70	46	36
63	42	34
59	40	32
60	41	33
78	50	37
72	47	36
75	49	36
78	50	37
79	51	38
81	52	38
83	53	39
85	53	39
86	54	40
87	55	41
89	56	41
90	57	42
90	57	42
91	57	42
91	58	42
92	58	42
92	58	43
92	58	43
93	58	43
93	58	43
93	58	43
94	59	43
94	59	43
95	59	43
95	59	43
95	59	43
96	59	44
97	60	44
98	60	45
100	61	45
101	61	46
103	62	46
104	63	47
106	64	48
107	64	48
108	65	49
110	66	50
112	68	51
114	69	51
114	70	52
113	70	52
109	68	50
104	65	48
97	61	45
89	56	41
78	48	36
67	40	31
64	39	29
71	44	32
79	49	36
83	52	38
85	53	40
84	53	40
83	52	40
80	51	39
75	49	38
70	46	37
63	42	34
57	39	32
71	46	35
75	48	36
77	50	37
79	50	37
80	51	38
82	52	38
83	53	38
85	54	39
86	54	40
88	55	40
89	56	41
90	56	41
90	57	42
91	57	42
92	58	42
92	58	42
93	58	43
93	58	43
93	58	43
94	59	43
94	58	43
94	59	43
95	59	43
95	59	43
96	59	44
96	59	44
97	59	44
99	60	44
100	60	45
101	61	46
103	62	46
104	63	47
106	64	48
107	64	49
108	65	49
109	65	49
111	66	50
112	67	51
114	69	51
114	69	52
112	69	52
108	67	50
102	64	47
95	60	44
87	54	40
76	47	35
62	38	29
55	33	26
64	39	29
75	46	34
82	51	37
85	52	39
85	52	40
83	52	40
81	51	39
75	49	38
70	46	37
63	42	34
55	38	32
52	37	31
54	38	31
72	48	37
81	53	40
85	53	40
70	45	34
73	48	36
76	49	36
78	50	37
80	51	37
81	51	37
82	52	38
84	53	38
85	53	39
86	54	39
88	55	40
89	56	41
89	56	41
91	57	42
91	57	42
92	58	42
93	58	42
93	58	42
93	58	42
94	59	43
94	58	43
94	58	43
94	58	43
95	58	43
95	59	43
96	59	44
97	59	44
98	59	44
99	60	45
101	61	46
102	62	46
104	62	47
105	63	48
107	64	49
109	65	50
110	66	50
110	65	49
111	66	50
112	67	51
113	69	51
113	69	52
110	68	51
106	66	49
100	63	47
93	58	43
86	53	39
75	47	36
57	36	28
46	29	24
54	34	26
70	43	32
79	49	36
85	52	39
86	53	40
85	53	40
81	51	40
76	49	38
70	46	37
61	41	33
54	37	31
50	35	30
50	35	30
68	46	36
79	52	40
86	54	41
88	55	41
86	52	38
63	40	30
73	47	35
75	48	36
77	49	36
79	50	37
81	51	37
82	51	37
83	52	38
84	52	38
85	53	39
87	54	39
88	55	40
88	55	40
90	56	41
90	56	41
91	57	42
92	57	42
93	58	42
94	58	43
94	59	43
94	58	43
94	58	43
94	58	43
95	58	43
95	58	43
96	59	43
97	59	44
97	59	44
98	60	44
100	60	45
101	61	46
103	62	47
105	63	48
107	64	49
109	65	49
110	66	50
111	66	51
110	66	50
111	66	50
111	67	51
112	68	51
111	68	51
109	66	50
104	64	49
99	61	46
91	56	42
85	52	39
76	47	36
57	36	29
43	28	24
44	28	23
64	40	29
76	47	35
84	52	38
86	53	40
86	53	40
83	52	40
78	50	39
71	46	37
60	40	33
53	36	31
48	34	29
47	34	29
77	51	40
86	55	42
89	56	41
89	55	40
88	54	39
71	45	34
73	47	35
76	48	36
78	49	36
80	50	37
81	51	37
82	51	37
83	51	38
84	52	38
85	53	39
87	54	39
88	55	40
88	55	40
90	56	41
91	56	41
92	57	42
93	57	42
93	58	42
94	58	42
94	58	42
94	58	42
95	58	43
94	58	43
95	58	42
95	58	43
96	58	43
97	59	44
98	59	44
99	60	45
101	60	45
102	61	46
104	62	47
106	63	48
108	65	49
110	65	50
111	66	51
112	67	51
111	67	51
111	66	51
111	66	51
111	67	51
109	66	51
106	65	49
102	63	47
96	60	45
90	55	41
84	52	38
77	47	37
60	37	31
47	32	27
40	28	24
56	36	27
73	46	33
83	51	38
87	53	40
87	54	41
85	52	40
80	50	39
71	46	36
61	40	33
51	35	30
45	33	28
44	32	28
49	35	30
63	44	36
77	52	41
88	57	43
