4980	3
-72.4726	34.5764	-22.5198
-72.648	32.2146	-21.6443
-72.8153	29.862	-20.4912
-72.9722	27.5207	-19.5017
-73.1167	25.1936	-18.6968
-73.2468	22.8842	-17.5741
-73.3606	20.5974	-16.7396
-73.4557	18.3387	-15.5299
-73.5301	16.1129	-14.6072
-73.5832	13.9202	-13.584
-73.6161	11.7531	-12.6497
-73.6314	9.59963	-11.3871
-73.6317	7.44629	-10.4486
-73.6193	5.27997	-9.71021
-73.5965	3.08785	-8.68995
-73.5651	0.856861	-8.0236
-73.527	-1.42665	-7.72067
-73.484	-3.77685	-7.39822
-73.4379	-6.20705	-7.27089
-73.3904	-8.72625	-7.66252
-73.3432	-11.3343	-8.09509
-73.2979	-14.0195	-8.6301
-73.2557	-16.7606	-9.72801
-73.2181	-19.5313	-10.8664
-73.1862	-22.3037	-11.8516
-73.1612	-25.0495	-13.0563
-73.1438	-27.7403	-13.9582
-73.1347	-30.3485	-14.8895
-73.134	-32.85	-15.5029
-73.141	-35.2278	-16.038
-73.1545	-37.4767	-16.8977
-73.1722	-39.6035	-17.093
-73.1917	-41.6229	-17.6958
-73.2105	-43.5539	-18.0643
-73.2267	-45.4175	-18.277
-73.2383	-47.236	-18.8095
-73.2439	-49.0319	-18.8531
-73.2424	-50.8277	-19.812
-68.9173	55.9511	-31.7862
-69.0725	53.5862	-29.3738
-69.2312	51.2138	-27.4068
-69.3921	48.8371	-25.2606
-69.5548	46.4585	-23.7922
-69.7198	44.0801	-22.0299
-69.8884	41.7037	-20.9147
-70.0605	39.3308	-19.8929
-70.2337	36.9628	-18.4902
-70.4043	34.6012	-17.4934
-70.569	32.2477	-16.6708
-70.7249	29.9038	-15.7086
-70.87	27.5716	-14.8965
-71.0024	25.2535	-14.1366
-71.1203	22.9526	-13.0209
-71.2222	20.6724	-12.0424
-71.3064	18.4164	-10.9079
-71.3716	16.1864	-10.1196
-71.4177	13.9809	-9.19876
-71.4454	11.7941	-8.48541
-71.4566	9.61612	-7.43049
-71.4532	7.43566	-6.54816
-71.4373	5.24062	-5.70692
-71.4109	3.01886	-4.96461
-71.3759	0.75812	-4.48575
-71.3339	-1.5538	-4.15173
-71.2867	-3.9285	-3.7929
-71.2362	-6.3756	-4.16055
-71.184	-8.90028	-4.13711
-71.132	-11.5007	-4.76994
